"V1","KO","n","Definition"
"KO:K11803","K11803",1,"DCAF12; DDB1- and CUL4-associated factor 12"
"KO:K11912","K11912",1,"ppkA; serine/threonine-protein kinase PpkA [EC:2.7.11.1]"
"KO:K12481","K12481",1,"RBSN, ZFYVE20; rabenosyn-5"
"KO:K12947","K12947",1,"SPCS2, SPC2; signal peptidase complex subunit 2 [EC:3.4.-.-]"
"KO:K13415","K13415",1,"BRI1; protein brassinosteroid insensitive 1 [EC:2.7.10.1 2.7.11.1]"
"KO:K13510","K13510",1,"LPCAT1_2; lysophosphatidylcholine acyltransferase / lyso-PAF acetyltransferase [EC:2.3.1.23 2.3.1.67]"
"KO:K13717","K13717",1,"OTUD3; OTU domain-containing protein 3 [EC:3.4.19.12]"
"KO:K14009","K14009",1,"BCAP31, BAP31; B-cell receptor-associated protein 31"
"KO:K14137","K14137",1,"PTAR1; protein prenyltransferase alpha subunit repeat containing protein 1"
"KO:K15044","K15044",1,"AGFG1; Arf-GAP domain and FG repeats-containing protein 1"
"KO:K15661","K15661",1,"ituA, mycA, bmyA; iturin family lipopeptide synthetase A"
"KO:K16904","K16904",1,"DCTPP1; dCTP diphosphatase [EC:3.6.1.12]"
"KO:K17079","K17079",1,"OPA1; optic atrophy protein 1 [EC:3.6.5.5]"
"KO:K17338","K17338",1,"REEP1_2_3_4; receptor expression-enhancing protein 1/2/3/4"
"KO:K18118","K18118",1,"aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]"
"KO:K18533","K18533",1,"AK9; adenylate/nucleoside-diphosphate kinase [EC:2.7.4.3 2.7.4.6]"
"KO:K18700","K18700",1,"flK; fluoroacetyl-CoA thioesterase [EC:3.1.2.29]"
"KO:K18819","K18819",1,"GOLS; inositol 3-alpha-galactosyltransferase [EC:2.4.1.123]"
"KO:K18831","K18831",1,"higA; HTH-type transcriptional regulator / antitoxin HigA"
"KO:K19225","K19225",1,"gluP; rhomboid protease GluP [EC:3.4.21.105]"
"KO:K19511","K19511",1,"PXDN, VPO1; peroxidase [EC:1.11.1.7]"
"KO:K19615","K19615",1,"fitD, mcf; insecticidal toxin"
"KO:K19694","K19694",1,"chiS; two-component system, sensor histidine kinase ChiS"
"KO:K19799","K19799",1,"RPH1; DNA damage-responsive transcriptional repressor / [histone H3]-trimethyl-L-lysine36 demethylase [EC:1.14.11.69]"
"KO:K19806","K19806",1,"PTP2_3; tyrosine-protein phosphatase 2/3 [EC:3.1.3.48]"
"KO:K19845","K19845",1,"SAC7; GTPase-activating protein SAC7"
"KO:K19877","K19877",1,"CHS5; chitin biosynthesis protein CHS5"
"KO:K19940","K19940",1,"SEC2; Rab guanine nucleotide exchange factor SEC2"
"KO:K19944","K19944",1,"TBC1D10; TBC1 domain family member 10"
"KO:K19985","K19985",1,"EXOC6, SEC15; exocyst complex component 6"
"KO:K20003","K20003",1,"ZDHHC4, SWF1; palmitoyltransferase ZDHHC4 [EC:2.3.1.225]"
"KO:K20024","K20024",1,"mgdE; monoglucosyldiacylglycerol epimerase [EC:5.1.3.34]"
"KO:K20042","K20042",1,"FCHO; F-BAR domain only protein"
"KO:K20044","K20044",1,"PICALM; phosphatidylinositol-binding clathrin assembly protein"
"KO:K20048","K20048",1,"END3; actin cytoskeleton-regulatory complex protein END3"
"KO:K20059","K20059",1,"LDB19, ART1; arrestin-related trafficking adapter 1"
"KO:K20063","K20063",1,"RIM8, ART9; arrestin-related trafficking adapter 9"
"KO:K20101","K20101",1,"DHX34; ATP-dependent RNA helicase DHX34 [EC:3.6.4.13]"
"KO:K20131","K20131",1,"RABGEF1; Rab5 GDP/GTP exchange factor"
"KO:K20170","K20170",1,"nicA1; nicotine oxidoreductase"
"KO:K20195","K20195",1,"MON1; vacuolar fusion protein MON1"
"KO:K20196","K20196",1,"KIF3B; kinesin family member 3B"
"KO:K20198","K20198",1,"KIF17; kinesin family member 17"
"KO:K20205","K20205",1,"mpn; manganese peroxidase [EC:1.11.1.13]"
"KO:K20217","K20217",1,"UBE2E; ubiquitin-conjugating enzyme E2 E [EC:2.3.2.23]"
"KO:K20290","K20290",1,"COG3, SEC34; conserved oligomeric Golgi complex subunit 3"
"KO:K20295","K20295",1,"COG8; conserved oligomeric Golgi complex subunit 8"
"KO:K20309","K20309",1,"TRAPPC12; trafficking protein particle complex subunit 12"
"KO:K20316","K20316",1,"SCOC; short coiled-coil protein"
"KO:K20347","K20347",1,"TMED2, EMP24; p24 family protein beta-1"
"KO:K20352","K20352",1,"TMED10, ERV25; p24 family protein delta-1"
"KO:K20368","K20368",1,"CNIH, ERV14; protein cornichon"
"KO:K20369","K20369",1,"ERV29, SURF4; ER-derived vesicles protein"
"KO:K20372","K20372",1,"TBC1D20, GYP8; TBC1 domain family member 20"
"KO:K20477","K20477",1,"RGP1; RAB6A-GEF complex partner protein 2"
"KO:K20524","K20524",1,"LSB5; LAS seventeen-binding protein 5"
"KO:K20542","K20542",1,"bcsZ; endoglucanase [EC:3.2.1.4]"
"KO:K20718","K20718",1,"ER; LRR receptor-like serine/threonine-protein kinase ERECTA [EC:2.7.11.1]"
"KO:K20794","K20794",1,"NAA40, NAT4; N-alpha-acetyltransferase 40 [EC:2.3.1.257]"
"KO:K20803","K20803",1,"UBE3D; ubiquitin-protein ligase E3 D [EC:2.3.2.26]"
"KO:K20844","K20844",1,"abf1; non-reducing end alpha-L-arabinofuranosidase [EC:3.2.1.55]"
"KO:K20866","K20866",1,"yihX; glucose-1-phosphatase [EC:3.1.3.10]"
"KO:K20940","K20940",1,"phzS; 5-methylphenazine-1-carboxylate 1-monooxygenase [EC:1.14.13.218]"
"KO:K20974","K20974",1,"K20974; two-component system, sensor histidine kinase [EC:2.7.13.3]"
"KO:K21138","K21138",1,"HDDC3; guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase [EC:3.1.7.2]"
"KO:K21159","K21159",1,"sgcF, ncsF2, kedF; epoxide hydrolase"
"KO:K21195","K21195",1,"phnY; 2-aminoethylphosphonate dioxygenase [EC:1.14.11.46]"
"KO:K21197","K21197",1,"PCL5, pas1; PHO85 cyclin-5"
"KO:K21293","K21293",1,"CYP619; cytochrome P450 family 619"
"KO:K21295","K21295",1,"AF510; 5-dehydro-6-demethoxyfumagillol synthase [EC:1.14.14.184]"
"KO:K21396","K21396",1,"WHT; ATP-binding cassette, subfamily G (WHITE), eye pigment precursor transporter"
"KO:K21397","K21397",1,"K21397; ABC transport system ATP-binding/permease protein"
"KO:K21452","K21452",1,"MBZ1; bZIP-type transcription factor MBZ1"
"KO:K21471","K21471",1,"cwlO; peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]"
"KO:K21480","K21480",1,"HO, pbsA1, hmuO; heme oxygenase (biliverdin-producing, ferredoxin) [EC:1.14.15.20]"
"KO:K21543","K21543",1,"CRZ1, CRZA; transcription factor CRZ1"
"KO:K21544","K21544",1,"NSF1, BCR1, DVRA; C2H2 transcription facotor"
"KO:K21545","K21545",1,"MNL1, SEB1, SEBA, COM2; C2H2 transcription facotor"
"KO:K21594","K21594",1,"GUF1; translation factor GUF1, mitochondrial [EC:3.6.5.-]"
"KO:K21642","K21642",1,"OPI1; transcriptional repressor OPI1"
"KO:K21737","K21737",1,"ACET6, DES6; acyl-lipid Delta6-acetylenase / acyl-lipid (9-3)-desaturase [EC:1.14.19.38 1.14.19.47]"
"KO:K21751","K21751",1,"DR1, NC2-beta; down-regulator of transcription 1"
"KO:K21804","K21804",1,"METTL21A; protein N-lysine methyltransferase METTL21A [EC:2.1.1.-]"
"KO:K21848","K21848",1,"ARV1; lipid intermediate transporter"
"KO:K21852","K21852",1,"DOCK6_7_8; dedicator of cytokinesis protein 6/7/8"
"KO:K21889","K21889",1,"TMBIM6, BI1, TEGT; Bax inhibitor 1"
"KO:K21993","K21993",1,"fdhC; formate transporter"
"KO:K22025","K22025",1,"denD; D-erythronate 2-dehydrogenase [EC:1.1.1.410]"
"KO:K22048","K22048",1,"MSL4S; mechanosensitive ion channel protein 4/5/6/7/8/9/10"
"KO:K22063","K22063",1,"ISCA1; iron-sulfur cluster assembly 1"
"KO:K22066","K22066",1,"BOLA1; BolA-like protein 1"
"KO:K22068","K22068",1,"ISCU; iron-sulfur cluster assembly enzyme ISCU, mitochondrial"
"KO:K22071","K22071",1,"FDX2; ferredoxin-2, mitochondrial"
"KO:K22073","K22073",1,"IBA57; transferase CAF17, mitochondrial [EC:2.1.-.-]"
"KO:K22075","K22075",1,"BOLA3; BolA-like protein 3"
"KO:K22122","K22122",1,"GLIF; gliotoxin biosynthesis cytochrome P450 monooxygenase [EC:1.-.-.-]"
"KO:K22123","K22123",1,"GLIN; gliotoxin biosynthesis N-methyltransferase [EC:2.1.1.-]"
"KO:K22138","K22138",1,"MPC1; mitochondrial pyruvate carrier 1"
"KO:K22149","K22149",1,"SIDI; mevalonyl-CoA ligase"
"KO:K22182","K22182",1,"TXNRD; thioredoxin reductase (NADPH) [EC:1.8.1.9]"
"KO:K22211","K22211",1,"GLX3, HSP31; D-lactate dehydratase [EC:4.2.1.130]"
"KO:K22213","K22213",1,"PATG; 6-methylsalicylate decarboxylase [EC:4.1.1.52]"
"KO:K22243","K22243",1,"KXD1; biogenesis of lysosome-related organelles complex 1 subunit KXD1"
"KO:K22245","K22245",1,"INUA; inulinase [EC:3.2.1.7]"
"KO:K22278","K22278",1,"pgdA; peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]"
"KO:K22282","K22282",1,"FAXDC2; fatty acid hydroxylase domain-containing protein 2"
"KO:K22342","K22342",1,"dmmA; dimethylamine monooxygenase subunit A [EC:1.14.13.238]"
"KO:K22384","K22384",1,"WRB, GET1; tail-anchored protein insertion receptor"
"KO:K22399","K22399",1,"TRIP13; pachytene checkpoint protein 2"
"KO:K22484","K22484",1,"CBF1; transcriptional regulator CBF1"
"KO:K22493","K22493",1,"ALS; agglutinin-like protein"
"KO:K22524","K22524",1,"WBP2; WW domain-binding protein 2"
"KO:K22719","K22719",1,"envC; murein hydrolase activator"
"KO:K22736","K22736",1,"VIT; vacuolar iron transporter family protein"
"KO:K22746","K22746",1,"CIAPIN1, DRE2; anamorsin"
"KO:K22756","K22756",1,"NSMCE2, NSE2; E3 SUMO-protein ligase NSE2 [EC:2.3.2.-]"
"KO:K22763","K22763",1,"DESI2, PPPDE1; deubiquitinase DESI2 [EC:3.4.19.12]"
"KO:K22817","K22817",1,"NSMCE1, NSE1; non-structural maintenance of chromosomes element 1 [EC:2.3.2.27]"
"KO:K22831","K22831",1,"LOA1; 1-acylglycerol-3-phosphate O-acyltransferase [EC:2.3.1.51]"
"KO:K22834","K22834",1,"GAS3; 1,3-beta-glucanosyltransferase GAS3 [EC:2.4.1.-]"
"KO:K22836","K22836",1,"GAS5; 1,3-beta-glucanosyltransferase GAS5 [EC:2.4.1.-]"
"KO:K22855","K22855",1,"EEF1AKMT1, EFM5; EEF1A lysine methyltransferase 1 [EC:2.1.1.-]"
"KO:K22856","K22856",1,"EEF1AKMT2, EFM4, METTL10; EEF1A lysine methyltransferase 2 [EC:2.1.1.-]"
"KO:K22884","K22884",1,"SIDL; N5-hydroxyornithine acetyltransferase [EC:2.3.1.-]"
"KO:K22937","K22937",1,"LYST, CHS1; lysosomal-trafficking regulator"
"KO:K22939","K22939",1,"IER3IP1, YOS1; immediate early response 3-interacting protein 1"
"KO:K22940","K22940",1,"YIPF1_2; protein YIPF1/2"
"KO:K22952","K22952",1,"pvcA; L-tyrosine isonitrile synthase [EC:4.1.99.24]"
"KO:K22992","K22992",1,"CYP628; cytochrome P450 family 628"
"KO:K22994","K22994",1,"pelX; pectate disaccharide-lyase [EC:4.2.2.9]"
"KO:K23164","K23164",1,"RTN4IP1; reticulon-4-interacting protein 1, mitochondrial"
"KO:K23166","K23166",1,"OPA3; optic atrophy 3 protein"
"KO:K23257","K23257",1,"yvgN; methylglyoxal/glyoxal reductase [EC:1.1.1.283 1.1.1.-]"
"KO:K23272","K23272",1,"P2OX; pyranose oxidase [EC:1.1.3.10]"
"KO:K23292","K23292",1,"LNPK; endoplasmic reticulum junction formation protein lunapark"
"KO:K23317","K23317",1,"MTF1; metal regulatory transcription factor 1"
"KO:K23334","K23334",1,"RANBP9_10, RANBPM; Ran-binding protein 9/10"
"KO:K23354","K23354",1,"LIMS1_2, PINCH1_2; LIM and senescent cell antigen-like-containing domain protein 1/2"
"KO:K23387","K23387",1,"GET4; golgi to ER traffic protein 4"
"KO:K23460","K23460",1,"CHM, CHML; Rab proteins geranylgeranyltransferase component A"
"KO:K23499","K23499",1,"RMND1; required for meiotic nuclear division protein 1"
"KO:K23503","K23503",1,"SFXN5; sideroflexin-5"
"KO:K23516","K23516",1,"XAN1; xanthine dioxygenase [EC:1.14.11.48]"
"KO:K23542","K23542",1,"TMEM199; TMEM199 family protein"
"KO:K23563","K23563",1,"EMC2, TTC35; ER membrane protein complex subunit 2"
"KO:K23566","K23566",1,"MMGT1, EMG5; membrane magnesium transporter 1"
"KO:K23567","K23567",1,"EMC6, TMEM93; ER membrane protein complex subunit 6"
"KO:K23668","K23668",1,"FMQD; fumiquinazoline A oxidase [EC:1.5.3.-]"
"KO:K23730","K23730",1,"CCDC40; coiled-coil domain-containing protein 40"
"KO:K23788","K23788",1,"TUL1, FLY1_2; transmembrane E3 ubiquitin-protein ligase [EC:2.3.2.27]"
"KO:K23887","K23887",1,"UAPA_C; uric acid-xanthine permease"
"KO:K23905","K23905",1,"PEF1; peflin"
"KO:K23966","K23966",1,"CCNL; cyclin L"
"KO:K24030","K24030",1,"ZMYND10; zinc finger MYND domain-containing protein 10"
"KO:K24034","K24034",1,"SPE3-LYS9; spermidine synthase / saccharopine dehydrogenase (NADP+, L-glutamate-forming) [EC:2.5.1.16 1.5.1.10]"
"KO:K24137","K24137",1,"PRX1; glutaredoxin/glutathione-dependent peroxiredoxin [EC:1.11.1.25 1.11.1.27]"
"KO:K24224","K24224",1,"CFAP44, WDR52; cilia- and flagella-associated protein 44"
"KO:K24265","K24265",1,"PANK4; bifunctional damage-control phosphatase, subfamily II, fusion protein"
"KO:K24272","K24272",1,"DENR, TMA22; density-regulated protein"
"KO:K24296","K24296",1,"MUC22; mucin-22"
"KO:K24348","K24348",1,"UBXN1_4; UBX domain-containing protein 1/4"
"KO:K24350","K24350",1,"UBXN7; UBX domain-containing protein 7"
"KO:K24364","K24364",1,"CSN12; COP9 signalosome complex subunit 12"
"KO:K24511","K24511",1,"VWA7; von Willebrand factor A domain-containing protein 7"
"KO:K24611","K24611",1,"AMMECR1, AMMECR1L; AMME syndrome candidate gene 1 protein"
"KO:K24637","K24637",1,"ZBED1; zinc finger BED domain-containing protein 1 (E3 SUMO-protein ligase ZBED1) [EC:2.3.2.-]"
"KO:K24684","K24684",1,"ZFAND1; AN1-type zinc finger protein 1"
"KO:K24728","K24728",1,"CFAP52, WDR16; cilia- and flagella-associated protein 52"
"KO:K24747","K24747",1,"WDR49; WD repeat-containing protein 49"
"KO:K24760","K24760",1,"WDR91; WD repeat-containing protein 91"
"KO:K24761","K24761",1,"WDR92, DNAAF10; dynein axonemal assembly factor 10"
"KO:K24766","K24766",1,"ACRB; ubiquitination network signaling protein AcrB"
"KO:K24767","K24767",1,"ASA1; ASTRA-associated protein 1"
"KO:K24826","K24826",1,"CRIPT; cysteine-rich PDZ-binding protein"
"KO:K24835","K24835",1,"GLIPR2; glioma pathogenesis-related protein 2"
