"sampleID"	"taxon_oid"	"Domain"	"Sequencing.Status"	"Study.Name"	"Genome.Name...Sample.Name"	"Sequencing.Center"	"IMG.Genome.ID"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"GOLD.Analysis.Project.Type"	"Add.Date"	"Assembly.Method"	"Comments"	"Has.Coverage"	"Is.Public"	"Release.Date"	"User.Access"	"Contact.Email"	"Contact.Name"	"Is.Published"	"Sequencing.Method"	"Ecosystem"	"Ecosystem.Category"	"Ecosystem.Subtype"	"Ecosystem.Type"	"Specific.Ecosystem"	"Altitude.In.Meters"	"Depth.In.Meters"	"Elevation.In.Meters"	"Geographic.Location"	"Habitat"	"Isolation.Country"	"Latitude"	"Longitude"	"Genome.Size.....assembled"	"Gene.Count.....assembled"	"JGI.Data.Utilization.Status"	"X"	"Use"	"Environment"
"X3300012978"	3300012978	"*Microbiome"	"Permanent Draft"	"Hot spring water viral communities from Western Cape, South Africa"	"Hot spring water viral communities from Western Cape, South Africa - Brandvlei"	"University of the Western Cape"	3300012978	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Acidic"	"Hot spring water viral communities from Western Cape, South Africa"	"Metagenome Analysis"	"2017-01-10"	"CLC Genomics"	"released by Olivier Zablocki"	"No"	"Yes"	"2017-11-02"	NA	"olivier.zablo@gmail.com"	"Olivier Zablocki"	"No"	"Illumina MiSeq"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Acidic"	NA	""	""	"Western Cape, South Africa"	"Hot spring water"	"South Africa"	"-33.732496"	"19.413317"	11115694	19053	""	NA	"Use"	"Hot spring"
"X3300007848"	3300007848	"*Microbiome"	"Permanent Draft"	"Microbial communities from hot springs in different districts of India"	"Microbial communities from hot springs in Panchmahal district, Gujarat, India - Tuva"	"Anand Agricultural University"	3300007848	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Unclassified"	"Microbial communities from hot springs in different districts of India"	"Metagenome Analysis"	"2016-03-12"	"Velvet"	"released per JGI data release policy"	"No"	"Yes"	"2019-11-01"	NA	"ssunil48@gmail.com"	"Sunil Bhavsar"	"No"	""	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Unclassified"	NA	""	""	"Tuva, Gujarat, India"	"Hot spring water"	""	"22.5781835"	"71.6139348"	96839613	418343	""	NA	"Use"	"Hot spring"
"X3300021488"	3300021488	"*Microbiome"	"Permanent Draft"	"Microbial communities from sediments and microbial mats in various locations"	"Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4870-07-2-3_MG"	"DOE Joint Genome Institute (JGI)"	3300021488	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Sediment"	"Microbial communities from sediments and microbial mats in various locations"	"Metagenome Analysis"	"2017-11-09"	"spades v. SPAdes version: 3.11.1-check"	""	"Yes"	"Yes"	"2018-01-08"	NA	"bmacgreg@unc.edu"	"Barbara MacGregor"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Sediment"	NA	"1999"	""	"Mexico: Guaymas Basin"	"hydrothermal vent sediment"	"Mexico"	"27.0114"	"-110.5931"	116921597	241508	"Unrestricted"	NA	"Use"	"Hydrothermal vent"
"X3300002486"	3300002486	"*Microbiome"	"Permanent Draft"	"Hot spring microbial communities from Mammoth Springs in Yellowstone National Park, Montana, USA"	"Hot spring microbial communities from Mammoth Springs in Yellowstone National Park, Montana, USA - YNG_F_2009"	""	3300002486	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Unclassified"	"Hot spring microbial communities from Mammoth Springs in Yellowstone National Park, Montana, USA"	"Metagenome Analysis"	"2014-03-21"	""	"released by JGI data releasing policy"	"No"	"Yes"	"2020-03-03"	NA	""	"Dr. Bruce W. Fouke"	"No"	""	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Unclassified"	NA	""	""	"Yellowstone National Park, Montana, USA"	"Hot spring"	"USA"	""	""	2134762	3336	""	NA	"Use"	"Hot spring"
"X3300012682"	3300012682	"*Microbiome"	"Permanent Draft"	"Polar desert microbial communities from Antarctic Dry Valleys"	"Polar desert sand microbial communities from Dry Valleys, Antarctica - metaG UQ223 (23.06)"	"DOE Joint Genome Institute (JGI)"	3300012682	"Environmental"	"Terrestrial"	"Soil"	"Desert"	"Unclassified"	"Polar desert microbial communities from Antarctic Dry Valleys"	"Metagenome Analysis"	"2016-12-10"	"MEGAHIT v. MEGAHIT v1.0.6"	""	"Yes"	"Yes"	"2017-02-08"	NA	"caryc@udel.edu"	"Stephen Cary"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Terrestrial"	"Desert"	"Soil"	"Unclassified"	NA	""	"966"	"Antarctica: Dry Valley"	"Polar desert sand"	"Antarctica"	"-78.0471"	"164.011"	1628635400	3300976	"Unrestricted"	NA	"Use"	"Desert"
"X3300017987"	3300017987	"*Microbiome"	"Permanent Draft"	"Hypersaline lake sediment archaeal communities from the Salton Sea, California, USA"	"Hypersaline lake sediment archaeal communities from the Salton Sea, California, USA - SS_1_MS_1 metaG"	"DOE Joint Genome Institute (JGI)"	3300017987	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Sediment"	"Hypersaline lake sediment archaeal communities from the Salton Sea, California, USA"	"Metagenome Analysis"	"2017-06-04"	"MEGAHIT v. MEGAHIT v1.0.6"	""	"Yes"	"Yes"	"2017-08-04"	NA	"valentine@geol.ucsb.edu"	"David Valentine"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Sediment"	NA	"0"	"0"	"USA: California"	"Hypersaline lake sediment"	"USA"	"33.4166"	"-115.9166"	2039414648	3805730	"Unrestricted"	NA	"Use"	"Hypersaline"
"X3300028212"	3300028212	"*Microbiome"	"Permanent Draft"	"Antarctic microbial communities"	"Marine microbial communities from Organic Lake, Antarctica - GS379 with 0.1UM filter - spades"	"JGI facility at Oak Ridge National Laboratory"	3300028212	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Unclassified"	"Antarctic microbial communities"	"Metagenome Analysis"	"2018-05-23"	"Spades v. 3.11.1"	"released by Michelle Allen"	"Yes"	"Yes"	"2021-04-27"	NA	"r.cavicchioli@unsw.edu.au"	"Rick Cavicchioli"	"No"	"454"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Unclassified"	NA	"1"	""	"Organic Lake, Antarctica"	"Marine derived hypersaline lake"	"Antarctica"	"-68.46233"	"78.19663"	12428386	26660	""	NA	"Use"	"Hypersaline"
"X3300015614"	3300015614	"*Microbiome"	"Finished"	"Hot spring water microbial communities from Unnai hot spring, Gujarat, India"	"Hot spring water microbial communities from Unnai hot spring, Gujarat, India"	"Anand Agricultural University"	3300015614	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Alkaline"	"Hot spring water microbial communities from Unnai hot spring, Gujarat, India"	"Metagenome Analysis"	"2017-04-20"	"MetaVelvet - v1.2.01"	"released by JGI data releasing policy"	"No"	"Yes"	"2021-03-03"	NA	"avmang@gmail.com"	"Amitsinh Mangrola"	"No"	"Ion Torrent PGM"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Alkaline"	NA	""	""	"Gujarat, India"	"Hot spring water"	"India"	"20.853333"	"73.334444"	105679989	440039	""	NA	"Use"	"Hot spring"
"X3300015171"	3300015171	"*Microbiome"	"Permanent Draft"	"Metagenomes of Arctic soils"	"Arctic soil microbial communities from a glacier forefield, Storglaciaren, Tarfala, Sweden (Sample st-3a, vegetated patch on medial moraine)"	"University of Bristol"	3300015171	"Environmental"	"Terrestrial"	"Soil"	"Glacier"	"Unclassified"	"Metagenomes of Arctic soils"	"Metagenome Analysis"	"2017-04-05"	"SPADES"	"released per Natalia: IMGSUPP-1553"	"Yes"	"Yes"	"2018-05-18"	NA	"maisie.nash@bristol.ac.uk; ama@envs.au.dk"	"Maisie Nash; Alexandre Magno Barbosa Anesio"	"Yes"	"Illumina HiSeq"	"Environmental"	"Terrestrial"	"Glacier"	"Soil"	"Unclassified"	NA	"0"	"1146"	"Storglaciaren, Tarfala, Sweden"	"Glacier forefield soil"	"Sweden"	"67.900853"	"18.44175"	216231874	447277	""	NA	"Use"	"Glacial forefield"
"X3300011921"	3300011921	"*Microbiome"	"Permanent Draft"	"Mine pit pond microbial communities from Vermont, USA"	"Mine pit pond microbial communities from Vermont, USA - 2M"	"University of Vermont"	3300011921	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Alkaline"	"Mine pit pond"	"Mine pit pond microbial communities from Vermont, USA"	"Metagenome Analysis"	"2016-11-21"	"Custom JGI assembly, Nielsen et. al."	"released per Natalia: IMGSUPP-1553"	"Yes"	"Yes"	"2018-05-18"	NA	""	""	"Yes"	"Illumina HiSeq 2000"	"Environmental"	"Aquatic"	"Alkaline"	"Non-marine Saline and Alkaline"	"Mine pit pond"	NA	""	""	"USA: Vermont"	"Mine pit pond"	"USA"	"43.727094"	"-72.425964"	62431253	112509	""	NA	"Use"	"Soda lake"
"X3300006865"	3300006865	"*Microbiome"	"Permanent Draft"	"Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)"	"Hot spring sediment bacterial and archeal communities from British Columbia, Canada, to study Microbial Dark Matter (Phase II) - Larsen N4 metaG"	"DOE Joint Genome Institute (JGI)"	3300006865	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Sediment"	"Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)"	"Metagenome Analysis"	"2015-12-17"	"MEGAHIT v. MEGAHIT v1.0.3"	""	"Yes"	"Yes"	"2016-05-27"	NA	"jkjarett@lbl.gov, pfdunfie@ucalgary.ca; jkjarett@lbl.gov; rstepanauskas@bigelow.org"	"Jessica Jarett, Peter Dunfield; Jessica Jarett; Ramunas Stepanauskas"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Sediment"	NA	""	"1401"	"Canada: British Columbia"	"hot spring sediment"	"Canada"	"60.1987"	"-125.5127"	1666775961	2740860	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300030335"	3300030335	"*Microbiome"	"Permanent Draft"	"Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA"	"Acid mine drainage biofilm communities from Richmond mine site C75, Iron Mt, CA, USA - AMDC750608V1"	"University of California, Berkeley"	3300030335	"Environmental"	"Aquatic"	"Freshwater"	"Groundwater"	"Acid Mine Drainage"	"Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA"	"Metagenome Analysis"	"2018-10-14"	"Custom JGI assembly, Nielsen et. al."	"Updating visibility of taxon created using public NCBI SRA data from private to public -- IMGSUPP-3620"	"Yes"	"Yes"	"2022-02-23"	NA	""	""	"No"	"Illumina HiSeq 2000"	"Environmental"	"Aquatic"	"Groundwater"	"Freshwater"	"Acid Mine Drainage"	NA	""	""	"USA: Iron Mountain, California"	"Acid mine drainage"	"USA"	"40.67542"	"-122.53025"	16951062	21294	""	NA	"Use"	"Acid mine drainage"
"X3300028215"	3300028215	"*Microbiome"	"Permanent Draft"	"Antarctic microbial communities"	"Marine microbial communities from Organic Lake, Antarctica - GS374 with 0.8UM filter - spades"	"JGI facility at Oak Ridge National Laboratory"	3300028215	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Unclassified"	"Antarctic microbial communities"	"Metagenome Analysis"	"2018-05-23"	"Spades v. 3.11.1"	"released by Michelle Allen"	"Yes"	"Yes"	"2021-04-27"	NA	"r.cavicchioli@unsw.edu.au"	"Rick Cavicchioli"	"No"	"454"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Unclassified"	NA	"1.8"	""	"Organic Lake, Antarctica"	"Marine derived hypersaline lake"	"Antarctica"	"-68.46233"	"78.19663"	20995738	38417	""	NA	"Use"	"Hypersaline"
"X3300003068"	3300003068	"*Microbiome"	"Permanent Draft"	"Acid mine drainage microbial communities from Carnoules, Gard, France"	"Acid Mine Drainage microbial communities from Carnoules, Gard, France, bin 3"	"CEA Genoscope"	3300003068	"Environmental"	"Aquatic"	"Freshwater"	"Groundwater"	"Contaminated"	"Acid mine drainage microbial communities from Carnoules, Gard, France"	"Metagenome Analysis"	"2014-07-31"	""	"Made public because these are downloaded from Genbank"	"No"	"Yes"	"2014-08-01"	NA	"ipagani@lbl.gov"	"Pelletier,E., Ionna Pagani"	"No"	""	"Environmental"	"Aquatic"	"Groundwater"	"Freshwater"	"Contaminated"	NA	""	""	"Carnoules, Gard, France"	"Acid mine drainage "	"France"	"43.303"	"6.188"	1407831	1352	""	NA	"Use"	"Acid mine drainage"
"X3300013801"	3300013801	"*Microbiome"	"Permanent Draft"	"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean"	"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean - FS879 IDBA reassembly"	"Marine Biological Laboratory"	3300013801	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Diffuse flow"	"Microbial community analysis of hydrothermal vent diffuse flow samples from Mid-Cayman Rise, Pacific Ocean"	"Metagenome Analysis"	"2017-03-06"	"reassembly with IDBA-UD"	"released by JGI data releasing policy"	"No"	"Yes"	"2021-03-03"	NA	"randerson@carleton.edu"	"Rika Anderson"	"No"	""	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Diffuse flow"	NA	""	""	"Mid Cayman Rise"	"diffuse flow hydrothermal vent"	""	"18.375"	"-81.797"	148876027	313501	""	NA	"Use"	"Hydrothermal vent"
"X3300022404"	3300022404	"*Microbiome"	"Permanent Draft"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Microbial mat bacterial and archaeal communities from Herschel Lake, Rottnest Island (WA - Australia) - HL1OPP3 JM39"	"AGRF"	3300022404	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Microbial mats"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Metagenome Analysis"	"2017-12-15"	"Unkown"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2021-03-03"	NA	"deirdre.gleeson@uwa.edu.au"	"Deirdre Gleeson"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Microbial mats"	NA	""	""	"Australia: Herschel Lake, Rottnest Island, Western Australia"	"Microbial mat"	"Australia"	"-31.996565"	"115.531482"	48500025	82296	""	NA	"Use"	"Hypersaline"
"X3300002208"	3300002208	"*Microbiome"	"Permanent Draft"	"Hot spring microbial communities from Yellowstone National Park"	"Hot spring thermophilic microbial communities from Obsidian Pool, Yellowstone National Park, USA - site 1 bottle C1"	"DOE Joint Genome Institute (JGI)"	3300002208	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Unclassified"	"Hot spring microbial communities from Yellowstone National Park"	"Metagenome Analysis"	"2014-01-23"	"SOAPdenovo,newbler,minimus2 v. Version 1.05: testing... 2010,(v2.8 (20120726_1306)),AMOS/3.1.0"	""	"Yes"	"Yes"	"2014-07-25"	NA	"blumerschuette@oakland.edu, blumerschuette@oakland.edu; rmkelly@ncsu.edu"	"Sara Blumer-Schuette, Sara Blumer-Schuette; Robert Kelly"	"No"	"Illumina HiSeq 2000, Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Unclassified"	NA	""	"2400"	"Yellowstone National Park, Wyoming, USA"	"Hot spring"	"USA"	"44.6102"	"-110.4387"	5684792	10447	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300003077"	3300003077	"*Microbiome"	"Permanent Draft"	"Acid mine drainage microbial communities from Carnoules, Gard, France"	"Acid Mine Drainage microbial communities from Carnoules, Gard, France, bin 6"	"CEA Genoscope"	3300003077	"Environmental"	"Aquatic"	"Freshwater"	"Groundwater"	"Contaminated"	"Acid mine drainage microbial communities from Carnoules, Gard, France"	"Metagenome Analysis"	"2014-07-31"	""	"Made public because these are downloaded from Genbank"	"No"	"Yes"	"2014-08-01"	NA	"ipagani@lbl.gov"	"Pelletier,E., Ionna Pagani"	"No"	""	"Environmental"	"Aquatic"	"Groundwater"	"Freshwater"	"Contaminated"	NA	""	""	"Carnoules, Gard, France"	"Acid mine drainage "	"France"	"43.303"	"6.188"	2498537	2560	""	NA	"Use"	"Acid mine drainage"
"X3300022341"	3300022341	"*Microbiome"	"Permanent Draft"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Microbial mat bacterial and archaeal communities from Lake Vincent, Rottnest Island (WA - Australia) - LVBGP3 JM33"	"AGRF"	3300022341	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Microbial mats"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Metagenome Analysis"	"2017-12-14"	"Unkown"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2021-03-03"	NA	"deirdre.gleeson@uwa.edu.au"	"Deirdre Gleeson"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Microbial mats"	NA	""	""	"Australia: Lake Vincent, Rottnest Island, Western Australia"	"Microbial mat"	"Australia"	"-31.999838"	"115.51448"	29174535	61230	""	NA	"Use"	"Hypersaline"
"X3300000529"	3300000529	"*Microbiome"	"Permanent Draft"	"Acid mine drainage (AMD) microbial communities from Fan Kou Mine, Shaoguan city, Guangdong Province, China"	"Acid mine drainage (AMD) microbial communities from Fan Kou Mine, Shaoguan city, Guangdong Province, China - ACID_P"	"Macrogen"	3300000529	"Environmental"	"Aquatic"	"Freshwater"	"Groundwater"	"Mine drainage"	"Acid mine drainage (AMD) microbial communities from Fan Kou Mine, Shaoguan city, Guangdong Province, China"	"Metagenome Analysis"	"2012-11-26"	""	"released per JGI data release policy"	"No"	"Yes"	"2019-11-01"	NA	"humin@soil.gd.cn"	"Hu min"	"No"	"Illumina HiSeq 2000"	"Environmental"	"Aquatic"	"Groundwater"	"Freshwater"	"Mine drainage"	NA	""	"56"	"Fankou, Shaoguan City, China"	"Acid mine drainage"	"China"	"24.814784"	"113.602638"	4131298	5864	""	NA	"Use"	"Acid mine drainage"
"X2028778003"	2028778003	"*Microbiome"	"Permanent Draft"	"Hot springs sediment microbial communities from the Great Boiling Springs, Nevada, USA"	"Sample 300"	""	2028778003	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Sediment"	"Hot springs sediment microbial communities from the Great Boiling Springs, Nevada, USA"	"Metagenome Analysis"	"2009-11-27"	""	"released per JGI data releasing policy"	"No"	"Yes"	"2020-03-03"	NA	"mhess@ucdavis.edu"	"Matthias Hess"	"No"	"454 GS FLX"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Sediment"	NA	""	""	"Great Boiling Springs thermal field, Nevada"	"Hot springs sediment "	"USA"	"40.652"	"-119.372"	6137913	8244	""	NA	"Use"	"Hot spring"
"X2009439003"	2009439003	"*Microbiome"	"Draft"	"Hot spring microbial communities from Bison Spring, Yellowstone National Park, USA, analyzing thermal gradients"	"1_050719N"	"DOE Joint Genome Institute (JGI)"	2009439003	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Unclassified"	"Hot spring microbial communities from Bison Spring, Yellowstone National Park, USA, analyzing thermal gradients"	"Metagenome Analysis"	"2008-02-05"	"lucy / pga"	""	"No"	"Yes"	"2009-10-15"	NA	"eshock@asu.edu"	"Everett Shock"	"No"	"Sanger"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Unclassified"	NA	""	"2350"	"USA: Bison Pool, Yellowstone National Park, Wyoming"	"Hot spring"	"USA"	"44.6"	"-110.9"	26884788	40864	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300002231"	3300002231	"*Microbiome"	"Permanent Draft"	"Marine sediment microbial communities from the Hellenic Volcanic Arc"	"Marine sediment microbial communities from Santorini caldera mats, Greece - red mat"	"DOE Joint Genome Institute (JGI)"	3300002231	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Sediment"	"Marine sediment microbial communities from the Hellenic Volcanic Arc"	"Metagenome Analysis"	"2014-05-09"	"Newbler and/or Velvet"	"released based on JGI ITS"	"Yes"	"Yes"	"2022-01-22"	NA	"nckyrpides@lbl.gov"	"Nikos Kyrpides"	"Yes"	"Illumina GAIIx"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Sediment"	NA	"336"	""	"Santorini caldera, Greece"	"Marine sediment"	"Greece"	"36.5"	"25.45"	3305188083	8591025	"Unrestricted"	NA	"Use"	"Hydrothermal vent"
"X3300032034"	3300032034	"*Microbiome"	"Permanent Draft"	"Phototrophic mat microbial and viral communities from various hot springs in Yellowstone National Park, Wyoming, United States"	"Hot spring phototrophic mat microbial communities from Mushroom Spring, Yellowstone National Park, Wyoming, United States - 20060911_MSe2"	"DOE Joint Genome Institute (JGI)"	3300032034	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Microbial mats"	"Phototrophic mat microbial and viral communities from various hot springs in Yellowstone National Park, Wyoming, United States"	"Metagenome Analysis"	"2018-12-06"	"spades v. 3.12.0"	""	"Yes"	"Yes"	"2019-02-04"	NA	"dbhaya@stanford.edu"	"Devaki Bhaya"	"No"	"PacBio Sequel, Illumina NovaSeq"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Microbial mats"	NA	"0"	""	"USA: Wyoming"	"hot spring phototrophic mat"	"USA"	"44.5387"	"-110.798"	306668012	627606	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300022497"	3300022497	"*Microbiome"	"Permanent Draft"	"Acid mine drainage microbial communities from Malanjkhand copper mine, India"	"Acid mine drainage microbial communities from Malanjkhand copper mine, India - M16_II Kmer_63"	"Indian Institute of Technology, kharagpur"	3300022497	"Environmental"	"Terrestrial"	"Soil"	"Unclassified"	"Mine drainage"	"Acid mine drainage microbial communities from Malanjkhand copper mine, India"	"Metagenome Analysis"	"2017-12-21"	"Metavelvet v. 1.2.02"	"released by JGI data releasing policy"	"No"	"Yes"	"2021-03-03"	NA	"sarpinaki@yahoo.com"	"Pinaki Sar"	"No"	"Ion Torrent PGM"	"Environmental"	"Terrestrial"	"Unclassified"	"Soil"	"Mine drainage"	NA	""	""	"Malanjkhand, India"	"sediment"	"India"	"22.022183"	"80.727633"	232657905	946633	""	NA	"Use"	"Acid mine drainage"
"X3300005791"	3300005791	"*Microbiome"	"Permanent Draft"	"Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific Ocean"	"Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific ocean - Sample FS907_Anemone_DNA"	"Marine Biological Laboratory"	3300005791	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Diffuse flow"	"Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific Ocean"	"Metagenome Analysis"	"2015-09-03"	"Ray v. 2.3.1, minimum contig length 1kb"	"released per JGI data release policy"	"No"	"Yes"	"2019-11-01"	NA	"cfortunato@mbl.edu, cfortunato@gmail.com; randerson@carleton.edu"	"Caroline  Fortunato, Caroline Fortunato; Rika Anderson"	"Yes"	"Illumina HiSeq 1000"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Diffuse flow"	NA	"1542"	""	"Axial seamount, northeast pacific ocean"	"Diffuse hydrothermal flow volcanic vent"	"USA"	"45.933231"	"-130.013645"	13538074	19582	""	NA	"Use"	"Hydrothermal vent"
"X3300022420"	3300022420	"*Microbiome"	"Permanent Draft"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Microbial mat bacterial and archaeal communities from Serpentine Lake, Rottnest Island (WA - Australia) - SL1OPP1 JM25"	"AGRF"	3300022420	"Environmental"	"Aquatic"	"Non-marine Saline and Alkaline"	"Hypersaline"	"Microbial mats"	"Metagenomes of microbial mats from hypersaline lakes on Rottnest Island, Australia"	"Metagenome Analysis"	"2017-12-15"	"Unkown"	"released by JGI data releasing policy"	"Yes"	"Yes"	"2021-03-03"	NA	"deirdre.gleeson@uwa.edu.au"	"Deirdre Gleeson"	"No"	"Illumina HiSeq 2500"	"Environmental"	"Aquatic"	"Hypersaline"	"Non-marine Saline and Alkaline"	"Microbial mats"	NA	""	""	"Australia: Serpentine Lake, Rottnest Island, Western Australia"	"Microbial mat"	"Australia"	"-32.002717"	"115.525989"	47445541	87638	""	NA	"Use"	"Hypersaline"
"X3300021580"	3300021580	"*Microbiome"	"Permanent Draft"	"Microbial communities from sediments and microbial mats in various locations"	"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4869-30-1-2_MG"	"DOE Joint Genome Institute (JGI)"	3300021580	"Environmental"	"Aquatic"	"Marine"	"Hydrothermal vents"	"Microbial mats"	"Microbial communities from sediments and microbial mats in various locations"	"Metagenome Analysis"	"2017-11-13"	"spades v. SPAdes version: 3.11.1-check"	""	"Yes"	"Yes"	"2018-01-12"	NA	"bmacgreg@unc.edu"	"Barbara MacGregor"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Aquatic"	"Hydrothermal vents"	"Marine"	"Microbial mats"	NA	"2001"	""	"Mexico: Guaymas Basin"	"hydrothermal vent microbial mat"	"Mexico"	"27.0074"	"-110.591"	87935217	241630	"Unrestricted"	NA	"Use"	"Hydrothermal vent"
"X3300017406"	3300017406	"*Microbiome"	"Permanent Draft"	"Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)"	"Hot spring microbial communities from Little Hot Creek, USA to study Microbial Dark Matter (Phase II) - LHC4sed_matched (SPADES assembly)"	"DOE Joint Genome Institute (JGI)"	3300017406	"Environmental"	"Aquatic"	"Thermal springs"	"Hot (42-90C)"	"Sediment"	"Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)"	"Metagenome Analysis"	"2017-05-05"	"MEGAHIT v. MEGAHIT v1.0.3"	"released"	"Yes"	"Yes"	"2020-05-05"	NA	"brian.hedlund@unlv.edu; rstepanauskas@bigelow.org"	"Brian Hedlund; Ramunas Stepanauskas"	"No"	"Illumina HiSeq 2500-1TB"	"Environmental"	"Aquatic"	"Hot (42-90C)"	"Thermal springs"	"Sediment"	NA	""	"2137"	"USA: California, Little Hot Creek"	"Hot spring"	"USA"	"37.6906"	"-118.8442"	233126515	433001	"Unrestricted"	NA	"Use"	"Hot spring"
"X3300034046"	3300034046	"*Microbiome"	"Permanent Draft"	"Deception Metagenome"	"Glacier sediment microbial communities near Whalers Bay, Deception Island, Antarctica - WBC1"	"The Brazilian National Council for Scientific and Technological Development (CNPq)"	3300034046	"Environmental"	"Aquatic"	"Freshwater"	"Ice"	"Glacier"	"Deception Metagenome"	"Metagenome Analysis"	"2019-11-06"	"IDBA-ud v. 1.1.1"	"released per Amanda Bendia -- GOLD-1013"	"No"	"Yes"	"2020-07-31"	NA	"amandagbendia@gmail.com"	"Amanda Bendia"	"No"	"Illumina"	"Environmental"	"Aquatic"	"Ice"	"Freshwater"	"Glacier"	NA	""	""	"Deception Island, Antarctica"	"glacier sediment"	"Antarctica"	"-63.18"	"-60.67"	25958417	38531	""	NA	"Use"	"Cryosphere"
