"Feature"	"FeatureName"	"Mean.Resolute3(n=3)"	"Mean.SvalbardTaylor(n=6)"	"StdErr.Resolute3(n=3)"	"StdErr.SvalbardTaylor(n=6)"	"FishersTest.Pval"	"FishersTest.adjPval"	"3300038653.Resolute3"	"3300039024.Resolute3"	"3300039023.Resolute3"	"3300061232.SvalbardTaylor"	"3300061231.SvalbardTaylor"	"3300061096.SvalbardTaylor"	"3300061097.SvalbardTaylor"	"3300061098.SvalbardTaylor"	"3300061230.SvalbardTaylor"
"Enquatrovirus"	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;unclassified;Schitoviridae;Enquatrovirus"	"0"	"11"	"0"	"5.39135109844153"	"0.178407720562213"	"0.20327821361356"	"0"	"0"	"0"	"14"	"31"	"0"	"0"	"0"	"21"
"Ensifer"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Ensifer"	"0"	"1699.33333333333"	"0"	"772.816134522163"	"1.46302786654839e-163"	"1.7045604670622e-162"	"0"	"0"	"0"	"2143"	"5030"	"261"	"256"	"234"	"2272"
"Entamoeba"	"Eukaryota;Evosea;unclassified;Mastigamoebida;Entamoebidae;Entamoeba"	"0"	"20.8333333333333"	"0"	"5.46148128054814"	"0.0256551655276984"	"0.032476946009777"	"0"	"0"	"0"	"30"	"40"	"7"	"7"	"15"	"26"
"Enteractinococcus"	"Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Enteractinococcus"	"0"	"19.6666666666667"	"0"	"5.85756870306368"	"0.0237215949168308"	"0.0304015960454104"	"0"	"0"	"0"	"22"	"47"	"13"	"10"	"8"	"18"
"Enterobacillus"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Hafniaceae;Enterobacillus"	"0"	"12.6666666666667"	"0"	"3.8873012632302"	"0.118059588896522"	"0.13871027606324"	"0"	"0"	"0"	"14"	"30"	"12"	"4"	"4"	"12"
"Enterobacter"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter"	"0.333333333333333"	"170.166666666667"	"0.333333333333333"	"53.0178691050899"	"3.32310864059957e-15"	"9.09243388939455e-15"	"0"	"0"	"1"	"215"	"397"	"62"	"81"	"68"	"198"
"Enterocloster"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster"	"0"	"86.1666666666667"	"0"	"25.8784552175056"	"9.92155404982018e-09"	"2.03252296519334e-08"	"0"	"0"	"0"	"126"	"185"	"41"	"26"	"34"	"105"
"Enterococcus"	"Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus"	"0"	"144.166666666667"	"0"	"35.5015649107347"	"3.5333651986182e-14"	"9.22648907609838e-14"	"0"	"0"	"0"	"203"	"281"	"72"	"66"	"81"	"162"
"Enterocytozoon"	"Eukaryota;Microsporidia;unclassified;unclassified;Enterocytozoonidae;Enterocytozoon"	"0"	"1.33333333333333"	"0"	"0.614636297152859"	"1"	"1"	"0"	"0"	"0"	"2"	"4"	"1"	"0"	"0"	"1"
"Enteroscipio"	"Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Enteroscipio"	"0"	"12.6666666666667"	"0"	"6.05896947600094"	"0.118059588896522"	"0.13871027606324"	"0"	"0"	"0"	"39"	"21"	"1"	"2"	"4"	"9"
"Enterovibrio"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Enterovibrio"	"0"	"85.1666666666667"	"0"	"31.2531776162219"	"1.54118556007445e-08"	"3.09978564625144e-08"	"0"	"0"	"0"	"82"	"228"	"29"	"32"	"35"	"105"
"Enterovirga"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Enterovirga"	"0"	"298.333333333333"	"0"	"149.007531502419"	"4.07706304645576e-29"	"1.60084681382895e-28"	"0"	"0"	"0"	"306"	"1008"	"72"	"65"	"61"	"278"
"Entomohabitans"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Entomohabitans"	"0"	"5.33333333333333"	"0"	"1.89150146121481"	"0.630545445081866"	"0.64380739516963"	"0"	"0"	"0"	"6"	"14"	"1"	"2"	"4"	"5"
"Entomomonas"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Entomomonas"	"0"	"17.6666666666667"	"0"	"4.77958622104931"	"0.0350837501156912"	"0.0440817001453626"	"0"	"0"	"0"	"22"	"38"	"9"	"10"	"7"	"20"
"Entomoplasma"	"Bacteria;Mycoplasmatota;Mollicutes;Entomoplasmatales;Entomoplasmataceae;Entomoplasma"	"0"	"2.5"	"0"	"0.806225774829855"	"1"	"1"	"0"	"0"	"0"	"3"	"4"	"0"	"0"	"4"	"4"
"Eoetvoesia"	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Eoetvoesia"	"0"	"84.5"	"0"	"24.8874131506939"	"1.46063430967896e-08"	"2.95073917289495e-08"	"0"	"0"	"0"	"112"	"189"	"33"	"38"	"40"	"95"
"Ephemeroptericola"	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ephemeroptericola"	"0"	"57.8333333333333"	"0"	"17.1491820342675"	"4.56687527046293e-06"	"7.97398821066116e-06"	"0"	"0"	"0"	"65"	"133"	"34"	"22"	"24"	"69"
"Epibacterium"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Epibacterium"	"0"	"15.8333333333333"	"0"	"7.2728566907677"	"0.0522247763867401"	"0.0643569936704289"	"0"	"0"	"0"	"13"	"50"	"4"	"6"	"3"	"19"
"Epilithonimonas"	"Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Epilithonimonas"	"0"	"383.666666666667"	"0"	"69.803374639849"	"3.43409150677169e-37"	"1.59000421787522e-36"	"0"	"0"	"0"	"587"	"414"	"248"	"207"	"263"	"583"
"Epseptimavirus"	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;unclassified;Demerecviridae;Epseptimavirus"	"0"	"0.666666666666667"	"0"	"0.333333333333333"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"1"
"Eracentumvirus"	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;unclassified;Autographiviridae;Eracentumvirus"	"0"	"0.166666666666667"	"0"	"0.166666666666667"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"
"Eremococcus"	"Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Eremococcus"	"0"	"3.83333333333333"	"0"	"1.40039676917333"	"1"	"1"	"0"	"0"	"0"	"5"	"10"	"1"	"2"	"1"	"4"
"Eremothecium"	"Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Eremothecium"	"0"	"17.5"	"0"	"4.63860611247244"	"0.0350152091688763"	"0.0440817001453626"	"0"	"0"	"0"	"15"	"33"	"12"	"5"	"10"	"30"
"Ermolevavirus"	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;unclassified;Autographiviridae;Ermolevavirus"	"0"	"0.166666666666667"	"0"	"0.166666666666667"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"
"Erwinia"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia"	"0"	"109.166666666667"	"0"	"34.5884534362424"	"7.05992180883596e-11"	"1.59858582865798e-10"	"0"	"0"	"0"	"135"	"262"	"51"	"40"	"49"	"118"
"Erysipelothrix"	"Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix"	"0"	"11.5"	"0"	"4.47772263544762"	"0.183149538358254"	"0.206842129326699"	"0"	"0"	"0"	"16"	"31"	"3"	"3"	"4"	"12"
"Erythranthe"	"Eukaryota;Streptophyta;unclassified Streptophyta;Lamiales;Phrymaceae;Erythranthe"	"1"	"49.6666666666667"	"1"	"17.8636813426324"	"0.00830087769554858"	"0.0111187341707933"	"0"	"0"	"3"	"66"	"113"	"10"	"8"	"19"	"82"
"Erythrobacter"	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter"	"2.33333333333333"	"6858.5"	"2.33333333333333"	"2387.71209529122"	"0"	"0"	"0"	"0"	"7"	"8758"	"16730"	"2200"	"1838"	"2581"	"9044"
"Escherichia"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia"	"1"	"183.5"	"1"	"46.2880474132722"	"5.10212014415648e-14"	"1.31619910965196e-13"	"0"	"0"	"3"	"242"	"370"	"85"	"93"	"98"	"213"
"Estrella"	"Bacteria;Chlamydiota;Chlamydiia;Parachlamydiales;Criblamydiaceae;Estrella"	"0"	"47.3333333333333"	"0"	"12.9451835745106"	"4.61761252578687e-05"	"7.57213334353383e-05"	"0"	"0"	"0"	"72"	"93"	"36"	"13"	"16"	"54"
"Ethanoligenens"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ethanoligenens"	"0"	"15"	"0"	"3.57770876399966"	"0.0811162197022913"	"0.0970486810777227"	"0"	"0"	"0"	"20"	"28"	"10"	"5"	"8"	"19"
"Eubacterium"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium"	"0"	"195.5"	"0"	"58.4019120691552"	"3.58980629286061e-19"	"1.10275545180493e-18"	"0"	"0"	"0"	"340"	"398"	"92"	"64"	"84"	"195"
"Eucalyptus"	"Eukaryota;Streptophyta;unclassified Streptophyta;Myrtales;Myrtaceae;Eucalyptus"	"0.333333333333333"	"45"	"0.333333333333333"	"17.2240142436851"	"0.000924459919349762"	"0.00135932518659781"	"0"	"0"	"1"	"50"	"108"	"12"	"9"	"10"	"81"
"Eudoraea"	"Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Eudoraea"	"0"	"165.333333333333"	"0"	"37.5248066099095"	"2.25980925782481e-16"	"6.42451540556406e-16"	"0"	"0"	"0"	"235"	"276"	"104"	"70"	"76"	"231"
"Euhalothece"	"Bacteria;Cyanobacteriota;Cyanophyceae;Chroococcales;Aphanothecaceae;Euhalothece"	"0"	"87.3333333333333"	"0"	"20.0177698835587"	"6.67163073187149e-09"	"1.37465626140941e-08"	"0"	"0"	"0"	"77"	"186"	"63"	"55"	"67"	"76"
"Eurybiavirus"	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;unclassified;unclassified;Eurybiavirus"	"0"	"5.83333333333333"	"0"	"3.10286605862673"	"0.638162189139806"	"0.646025799053377"	"0"	"0"	"0"	"3"	"20"	"1"	"1"	"1"	"9"
"Euryhalocaulis"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Maricaulales;Maricaulaceae;Euryhalocaulis"	"0"	"178"	"0"	"80.5613637752821"	"1.59890202295695e-17"	"4.73026969672582e-17"	"0"	"0"	"0"	"243"	"513"	"11"	"26"	"28"	"247"
"Eutrema"	"Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Eutrema"	"0"	"32.8333333333333"	"0"	"11.9705657528976"	"0.00160279882532365"	"0.00229462351936415"	"0"	"0"	"0"	"40"	"74"	"5"	"8"	"11"	"59"
"Euzebya"	"Bacteria;Actinomycetota;Nitriliruptoria;Euzebyales;Euzebyaceae;Euzebya"	"0"	"1417.83333333333"	"0"	"490.344533069464"	"1.84170072893247e-136"	"1.8792385781846e-135"	"0"	"0"	"0"	"1142"	"3815"	"810"	"740"	"674"	"1326"
"Euzebyella"	"Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Euzebyella"	"0"	"42"	"0"	"10.0796825346833"	"0.000240621085491598"	"0.000368699166865175"	"0"	"0"	"0"	"80"	"58"	"20"	"22"	"22"	"50"
"Evansella"	"Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Evansella"	"0"	"35.8333333333333"	"0"	"12.8099353801822"	"0.000709392351749635"	"0.00105032028419863"	"0"	"0"	"0"	"38"	"94"	"21"	"12"	"9"	"41"
"Evtepia"	"Bacteria;Bacillota;Clostridia;Eubacteriales;unclassified;Evtepia"	"0"	"11.1666666666667"	"0"	"5.61792765271244"	"0.179761547063641"	"0.204312166297235"	"0"	"0"	"0"	"14"	"37"	"1"	"2"	"2"	"11"
"Ewingella"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Ewingella"	"0"	"14"	"0"	"3.86436713231718"	"0.0779377109310127"	"0.0943831308350977"	"0"	"0"	"0"	"20"	"28"	"8"	"4"	"6"	"18"
"Exidia"	"Eukaryota;Basidiomycota;Agaricomycetes;Auriculariales;Exidiaceae;Exidia"	"0"	"18.1666666666667"	"0"	"7.8034892480508"	"0.035663693892248"	"0.0445830960713081"	"0"	"0"	"0"	"15"	"55"	"6"	"8"	"4"	"21"
"Exiguobacterium"	"Bacteria;Bacillota;Bacilli;Bacillales;unclassified;Exiguobacterium"	"0"	"120.666666666667"	"0"	"31.9005398770059"	"4.67239040010706e-12"	"1.10563802377718e-11"	"0"	"0"	"0"	"147"	"254"	"61"	"59"	"57"	"146"
"Exobasidium"	"Eukaryota;Basidiomycota;Exobasidiomycetes;Exobasidiales;Exobasidiaceae;Exobasidium"	"0"	"6.66666666666667"	"0"	"3.06231575409489"	"0.404437911816591"	"0.434974545011176"	"0"	"0"	"0"	"7"	"21"	"2"	"1"	"2"	"7"
"Exserohilum"	"Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Exserohilum"	"0"	"6.5"	"0"	"2.3057898140695"	"0.404076131448938"	"0.434974545011176"	"0"	"0"	"0"	"6"	"16"	"1"	"2"	"4"	"10"
"Extensimonas"	"Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Extensimonas"	"0"	"124.666666666667"	"0"	"37.3601094454738"	"2.24653798870121e-12"	"5.38765547589721e-12"	"0"	"0"	"0"	"132"	"299"	"65"	"61"	"63"	"128"
"Eyrevirus"	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;unclassified;unclassified;Eyrevirus"	"0"	"0.333333333333333"	"0"	"0.333333333333333"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"
"Ezakiella"	"Bacteria;Bacillota;Tissierellia;unclassified;unclassified;Ezakiella"	"0"	"9.33333333333333"	"0"	"2.52542625665011"	"0.271172637013938"	"0.298466894191913"	"0"	"0"	"0"	"9"	"20"	"7"	"6"	"2"	"12"
"Fabibacter"	"Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Fabibacter"	"1.33333333333333"	"0"	"1.33333333333333"	"0"	"1.70685928632033e-06"	"3.05689052731713e-06"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"
"Facklamia"	"Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Facklamia"	"0"	"10.8333333333333"	"0"	"3.40016339476666"	"0.177288386986711"	"0.202723765847759"	"0"	"0"	"0"	"17"	"17"	"8"	"3"	"0"	"20"
"Faecalibacterium"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium"	"0"	"93.5"	"0"	"25.3847066820425"	"2.19814842434804e-09"	"4.62130416772383e-09"	"0"	"0"	"0"	"163"	"167"	"51"	"31"	"38"	"111"
"Faecalibaculum"	"Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum"	"0"	"5.33333333333333"	"0"	"1.49814700361628"	"0.630545445081866"	"0.64380739516963"	"0"	"0"	"0"	"4"	"12"	"1"	"5"	"4"	"6"
"Faecalicatena"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena"	"0"	"29.8333333333333"	"0"	"9.29306790630043"	"0.00223330702571947"	"0.00318016928711203"	"0"	"0"	"0"	"47"	"57"	"10"	"10"	"8"	"47"
"Faecalicoccus"	"Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalicoccus"	"0"	"7.16666666666667"	"0"	"2.12001048215438"	"0.408088495450562"	"0.435113324267421"	"0"	"0"	"0"	"7"	"14"	"4"	"2"	"3"	"13"
"Faecalimonas"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Faecalimonas"	"0"	"1.33333333333333"	"0"	"0.210818510677892"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"2"
"Faecalitalea"	"Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea"	"0"	"4.33333333333333"	"0"	"1.99443670688688"	"1"	"1"	"0"	"0"	"0"	"7"	"13"	"0"	"1"	"3"	"2"
"Faithunavirus"	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;unclassified;Vilmaviridae;Faithunavirus"	"0"	"0.166666666666667"	"0"	"0.166666666666667"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"Falseniella"	"Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Falseniella"	"0"	"5.33333333333333"	"0"	"1.30809445802324"	"0.630545445081866"	"0.64380739516963"	"0"	"0"	"0"	"6"	"10"	"3"	"2"	"3"	"8"
"Falsibacillus"	"Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Falsibacillus"	"0"	"20.3333333333333"	"0"	"3.52766841475279"	"0.0245657627048428"	"0.0312832685637187"	"0"	"0"	"0"	"28"	"31"	"16"	"14"	"9"	"24"
"Falsihalocynthiibacter"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Falsihalocynthiibacter"	"0"	"63.8333333333333"	"0"	"28.6791639425637"	"1.47860495098206e-06"	"2.65552144783998e-06"	"0"	"0"	"0"	"52"	"202"	"18"	"21"	"25"	"65"
"Falsirhodobacter"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Falsirhodobacter"	"0"	"108.666666666667"	"0"	"45.856054973992"	"6.82655996996971e-11"	"1.54683862402991e-10"	"0"	"0"	"0"	"92"	"331"	"42"	"44"	"40"	"103"
"Falsiroseomonas"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Falsiroseomonas"	"0"	"4232.83333333333"	"0"	"2438.86799446884"	"0"	"0"	"0"	"0"	"0"	"1754"	"16196"	"1083"	"1396"	"888"	"4080"
"Falsiruegeria"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Falsiruegeria"	"0"	"60.3333333333333"	"0"	"25.3793441820531"	"3.18737720789246e-06"	"5.59581182141778e-06"	"0"	"0"	"0"	"63"	"179"	"21"	"16"	"19"	"64"
"Falsochrobactrum"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Falsochrobactrum"	"0"	"76.3333333333333"	"0"	"37.2672033354321"	"1.03219331242299e-07"	"1.9791426529044e-07"	"0"	"0"	"0"	"86"	"247"	"10"	"11"	"16"	"88"
"Fangia"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Fastidiosibacteraceae;Fangia"	"0"	"16.1666666666667"	"0"	"5.2941267247562"	"0.0526480915412955"	"0.0647789882097968"	"0"	"0"	"0"	"33"	"31"	"10"	"3"	"5"	"15"
"Fannyhessea"	"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Fannyhessea"	"0"	"6.33333333333333"	"0"	"1.7256238807393"	"0.648225505729733"	"0.649238674697738"	"0"	"0"	"0"	"6"	"14"	"3"	"3"	"4"	"8"
"Fastidiosibacter"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Fastidiosibacteraceae;Fastidiosibacter"	"0"	"17.1666666666667"	"0"	"5.40010287967841"	"0.0560388051759134"	"0.0682693276743827"	"0"	"0"	"0"	"30"	"32"	"6"	"7"	"3"	"25"
"Fastidiosipila"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Fastidiosipila"	"0"	"7.16666666666667"	"0"	"1.57938103206428"	"0.408088495450562"	"0.435113324267421"	"0"	"0"	"0"	"11"	"11"	"4"	"4"	"3"	"10"
"Faunimonas"	"Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Pleomorphomonadaceae;Faunimonas"	"0"	"129.833333333333"	"0"	"55.9353297220202"	"7.12575722557602e-13"	"1.74949625676211e-12"	"0"	"0"	"0"	"133"	"389"	"44"	"28"	"37"	"148"
"Felixounavirus"	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;unclassified;unclassified;Felixounavirus"	"0"	"2.83333333333333"	"0"	"1.24944432093275"	"1"	"1"	"0"	"0"	"0"	"5"	"8"	"1"	"0"	"1"	"2"
"Fengtaivirus"	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;unclassified;Casjensviridae;Fengtaivirus"	"0"	"1"	"0"	"0.516397779494322"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"3"
"Fenollaria"	"Bacteria;Bacillota;Clostridia;Eubacteriales;unclassified;Fenollaria"	"0"	"5.16666666666667"	"0"	"1.83333333333333"	"0.628669074262185"	"0.64380739516963"	"0"	"0"	"0"	"8"	"13"	"2"	"2"	"4"	"2"
"Fermentimonas"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Fermentimonas"	"0"	"47"	"0"	"13.9570770578943"	"7.33907986732501e-05"	"0.000117454604869677"	"0"	"0"	"0"	"102"	"47"	"24"	"14"	"23"	"72"
"Ferrimicrobium"	"Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrimicrobium"	"0"	"228.666666666667"	"0"	"59.1741309845593"	"2.66974037633078e-22"	"8.85491528546979e-22"	"0"	"0"	"0"	"175"	"520"	"162"	"146"	"152"	"217"
"Ferrimonas"	"Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Ferrimonadaceae;Ferrimonas"	"0"	"142.5"	"0"	"42.2301235296954"	"5.21714564267082e-14"	"1.34370857227631e-13"	"0"	"0"	"0"	"157"	"338"	"94"	"57"	"69"	"140"
"Ferriphaselus"	"Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Ferriphaselus"	"0"	"435.833333333333"	"0"	"85.964107497128"	"2.41829144840245e-42"	"1.19941266264419e-41"	"0"	"0"	"0"	"685"	"710"	"389"	"211"	"306"	"314"
"Ferrithrix"	"Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrithrix"	"0"	"355.5"	"0"	"110.734743117656"	"1.44287800119344e-34"	"6.29833939485529e-34"	"0"	"0"	"0"	"256"	"904"	"252"	"221"	"195"	"305"
"Ferroacidibacillus"	"Bacteria;Bacillota;Bacilli;Bacillales;Alicyclobacillaceae;Ferroacidibacillus"	"0"	"54"	"0"	"16.4944435088507"	"1.57261801900627e-05"	"2.64358244118368e-05"	"0"	"0"	"0"	"57"	"130"	"31"	"28"	"20"	"58"
"Ferroglobus"	"Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Ferroglobus"	"0"	"7.83333333333333"	"0"	"2.18199704654042"	"0.418187468929015"	"0.441473690427863"	"0"	"0"	"0"	"9"	"18"	"3"	"5"	"6"	"6"
"Ferroplasma"	"Archaea;Candidatus Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma"	"0"	"3.5"	"0"	"1.25830573921179"	"1"	"1"	"0"	"0"	"0"	"3"	"9"	"1"	"1"	"5"	"2"
"Ferrovum"	"Bacteria;Pseudomonadota;Betaproteobacteria;Ferrovales;Ferrovaceae;Ferrovum"	"0"	"305.333333333333"	"0"	"78.6001130901081"	"8.91958010879935e-30"	"3.56783204351974e-29"	"0"	"0"	"0"	"359"	"670"	"190"	"155"	"198"	"260"
"Fervidicella"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Fervidicella"	"0"	"35.6666666666667"	"0"	"16.1444865029658"	"0.000703543723094519"	"0.00104262446290233"	"0"	"0"	"0"	"106"	"25"	"9"	"5"	"11"	"58"
"Fervidicoccus"	"Archaea;Thermoproteota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus"	"0"	"2.5"	"0"	"1.05672449894316"	"1"	"1"	"0"	"0"	"0"	"2"	"7"	"3"	"0"	"0"	"3"
"Fervidobacterium"	"Bacteria;Thermotogota;Thermotogae;Thermotogales;Fervidobacteriaceae;Fervidobacterium"	"0"	"50.5"	"0"	"12.4197423483742"	"3.39520833803099e-05"	"5.5871841371604e-05"	"0"	"0"	"0"	"62"	"105"	"29"	"23"	"33"	"51"
"Fibrella"	"Bacteria;Bacteroidota;Cytophagia;Cytophagales;Spirosomaceae;Fibrella"	"0"	"1054.16666666667"	"0"	"141.354735014824"	"1.23377520377164e-101"	"1.05978974608159e-100"	"0"	"0"	"0"	"923"	"1349"	"1324"	"882"	"1347"	"500"
"Fibrisoma"	"Bacteria;Bacteroidota;Cytophagia;Cytophagales;Spirosomaceae;Fibrisoma"	"0"	"2087.33333333333"	"0"	"384.321884767328"	"1.07858022588884e-200"	"1.4339298936713e-199"	"0"	"0"	"0"	"2480"	"3835"	"1551"	"1778"	"1464"	"1416"
"Fibrobacter"	"Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter"	"0"	"644.166666666667"	"0"	"198.573985652144"	"2.47348270439764e-62"	"1.54183630056226e-61"	"0"	"0"	"0"	"1110"	"1108"	"308"	"86"	"223"	"1030"
"Fibularhizoctonia"	"Eukaryota;Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Fibularhizoctonia"	"0"	"14.6666666666667"	"0"	"4.68093058174452"	"0.0795570082268487"	"0.0954326673001959"	"0"	"0"	"0"	"12"	"35"	"8"	"7"	"5"	"21"
"Ficleduovirus"	"Viruses;dsDNA viruses, no RNA stage;Caudoviricetes;unclassified;unclassified;Ficleduovirus"	"0"	"1.5"	"0"	"0.763762615825973"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"5"
"Fictibacillus"	"Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Fictibacillus"	"0"	"138.5"	"0"	"37.1660687545329"	"1.05689754134076e-13"	"2.69609850513996e-13"	"0"	"0"	"0"	"160"	"304"	"92"	"57"	"70"	"148"
"Filibacter"	"Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Filibacter"	"0"	"6.66666666666667"	"0"	"2.13957420478416"	"0.404437911816591"	"0.434974545011176"	"0"	"0"	"0"	"6"	"17"	"6"	"3"	"5"	"3"
"Filifactor"	"Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Filifactor"	"0"	"6.16666666666667"	"0"	"2.41407907446665"	"0.644638102850772"	"0.648076712122332"	"0"	"0"	"0"	"13"	"14"	"3"	"0"	"2"	"5"
"Filimonas"	"Bacteria;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Filimonas"	"0"	"3038.5"	"0"	"607.038096003867"	"4.62886392449244e-292"	"8.2854078290915e-291"	"0"	"0"	"0"	"4690"	"3943"	"1792"	"1399"	"1936"	"4471"
